repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;1.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep1
1;Ended;1.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep2
2;Ended;0.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep3
3;Ended;0.000;3;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep4
4;Ended;0.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep5
5;Ended;0.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep6
6;Ended;1.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep7
7;Ended;1.000;4;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep8
8;Ended;1.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep9
9;Ended;1.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep10
10;Ended;0.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep11
11;Ended;0.000;4;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep12
12;Ended;0.000;4;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep13
13;Ended;0.000;4;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep14
14;Ended;0.000;2;0;0;S1-T4-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-35-16]_rep15
