repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.800;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep1
1;Ended;0.600;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep2
2;Ended;0.400;12;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep3
3;Ended;0.600;13;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep4
4;Ended;0.600;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep5
5;Ended;0.600;14;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep6
6;Ended;0.600;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep7
7;Ended;0.600;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep8
8;Ended;0.600;13;0;1;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep9
9;Ended;0.600;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep10
10;Ended;0.600;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep11
11;Ended;0.600;17;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep12
12;Ended;0.600;11;0;1;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep13
13;Ended;0.600;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep14
14;Ended;0.600;11;0;0;S1-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[21-15-00]_rep15
