repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep1
1;Ended;0.667;7;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep2
2;Ended;1.000;9;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep3
3;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep4
4;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep5
5;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep6
6;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep7
7;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep8
8;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep9
9;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep10
10;Ended;1.000;9;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep11
11;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep12
12;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep13
13;Ended;0.000;2;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep14
14;Ended;1.000;6;0;0;S2-T12-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-07-50]_rep15
