repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;1.000;11;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep1
1;Ended;1.000;4;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep2
2;Ended;1.000;8;0;2;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep3
3;Ended;1.000;7;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep4
4;Ended;1.000;3;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep5
5;Ended;1.000;1;0;0;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep6
6;Ended;1.000;1;0;0;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep7
7;Ended;1.000;3;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep8
8;Ended;1.000;5;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep9
9;Ended;1.000;6;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep10
10;Ended;0.000;4;0;3;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep11
11;Ended;1.000;6;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep12
12;Ended;1.000;5;0;2;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep13
13;Ended;1.000;10;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep14
14;Ended;1.000;7;0;1;S2-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-12]-[17-48-20]_rep15
