repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.400;10;0;1;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep1
1;Ended;0.600;10;0;2;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep2
2;Ended;0.400;7;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep3
3;Ended;0.400;12;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep4
4;Ended;0.400;10;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep5
5;Ended;0.400;9;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep6
6;Ended;0.400;14;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep7
7;Ended;0.400;10;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep8
8;Ended;0.600;13;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep9
9;Ended;0.400;12;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep10
10;Ended;0.000;11;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep11
11;Ended;0.600;14;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep12
12;Ended;0.400;10;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep13
13;Ended;0.400;7;0;0;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep14
14;Ended;0.400;8;0;1;S2-T15-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-57-16]_rep15
