repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.500;5;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep1
1;Ended;0.500;5;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep2
2;Ended;1.000;7;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep3
3;Ended;1.000;5;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep4
4;Ended;1.000;4;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep5
5;Ended;0.500;5;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep6
6;Ended;1.000;4;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep7
7;Ended;0.500;6;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep8
8;Ended;1.000;7;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep9
9;Ended;1.000;4;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep10
10;Ended;1.000;5;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep11
11;Ended;0.500;4;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep12
12;Ended;0.500;7;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep13
13;Ended;1.000;6;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep14
14;Ended;1.000;7;0;0;S1-T9-C1-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep15
