repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.400;7;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep1
1;Ended;0.400;7;0;1;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep2
2;Ended;0.200;2;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep3
3;Ended;0.600;11;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep4
4;Ended;0.200;7;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep5
5;Ended;0.400;9;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep6
6;Ended;0.200;7;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep7
7;Ended;0.400;7;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep8
8;Ended;0.400;7;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep9
9;Ended;0.400;9;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep10
10;Ended;0.400;7;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep11
11;Ended;0.600;17;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep12
12;Ended;0.400;7;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep13
13;Ended;0.400;9;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep14
14;Ended;0.200;7;0;0;S1-T14-C2-PL-HR-G4O-OPAQ-ABS_[11-05]-[20-50-35]_rep15
