repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.800;14;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep1
1;Ended;0.600;14;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep2
2;Ended;0.600;8;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep3
3;Ended;0.400;11;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep4
4;Ended;0.200;5;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep5
5;Ended;0.200;6;0;1;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep6
6;Ended;0.200;7;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep7
7;Ended;0.400;9;0;1;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep8
8;Ended;0.200;9;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep9
9;Ended;0.400;11;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep10
10;Ended;0.800;13;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep11
11;Ended;0.400;12;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep12
12;Ended;0.400;16;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep13
13;Ended;0.400;6;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep14
14;Ended;0.600;18;0;0;S1-T14-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-31-05]_rep15
