repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.200;6;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep1
1;Ended;0.600;9;0;1;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep2
2;Ended;0.600;10;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep3
3;Ended;0.000;2;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep4
4;Ended;0.600;9;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep5
5;Ended;0.000;8;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep6
6;Ended;0.200;7;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep7
7;Ended;0.600;10;0;1;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep8
8;Ended;0.400;6;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep9
9;Ended;0.000;2;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep10
10;Ended;0.200;5;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep11
11;Ended;0.600;12;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep12
12;Ended;0.400;7;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep13
13;Ended;0.600;8;0;1;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep14
14;Ended;0.600;9;0;0;S2-T14-C2-PL-HR-S35-SEM-ABS_[11-12]-[16-36-06]_rep15
