repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.000;6;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep1
1;Ended;0.000;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep2
2;Ended;0.000;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep3
3;Ended;0.000;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep4
4;Ended;0.000;6;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep5
5;Ended;0.000;6;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep6
6;Ended;0.000;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep7
7;Ended;0.500;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep8
8;Ended;0.000;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep9
9;Ended;0.000;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep10
10;Ended;0.000;2;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep11
11;Ended;0.000;5;0;1;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep12
12;Ended;0.000;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep13
13;Ended;0.500;6;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep14
14;Ended;0.000;5;0;0;S1-T8-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-42-23]_rep15
