repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.333;11;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep1
1;Ended;0.333;12;0;2;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep2
2;Ended;0.333;8;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep3
3;Ended;0.667;6;0;1;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep4
4;Ended;0.333;7;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep5
5;Ended;0.333;9;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep6
6;Ended;0.333;6;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep7
7;Ended;0.667;9;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep8
8;Ended;0.333;7;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep9
9;Ended;0.333;13;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep10
10;Ended;0.333;6;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep11
11;Ended;0.667;12;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep12
12;Ended;0.333;13;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep13
13;Ended;0.333;6;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep14
14;Ended;0.333;10;0;0;S2-T12-C2-PL-HR-G4O-OPAQ-ABS_[11-12]-[18-38-56]_rep15
