repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.934;3;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep1
1;Ended;0.706;4;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep2
2;Ended;1.000;4;0;2;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep3
3;Ended;1.000;4;0;1;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep4
4;Ended;0.487;3;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep5
5;Ended;0.358;3;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep6
6;Ended;0.632;3;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep7
7;Ended;1.000;4;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep8
8;Ended;0.394;3;0;1;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep9
9;Ended;0.724;3;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep10
10;Ended;1.000;3;0;1;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep11
11;Ended;0.506;3;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep12
12;Ended;1.000;4;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep13
13;Ended;0.711;4;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep14
14;Ended;0.632;3;0;0;S2-T7-C4-PL-HR-G4O-SEM-ABS_[11-11]-[17-25-54]_rep15
